"","NR","WR","SR","ER","NER","All India"
"Coal","468","1211","478","441","15","2613"
"Lignite","24","16","47","0","0","87"
"Hydro","119","49","90","42","8","309"
"Nuclear","30","28","44","0","0","102"
"Gas, Naptha & Diesel","32","30","17","0","24","103"
"RES (Wind, Solar, Biomass & Others)","59","44","148","2","0","253"
"Total","733","1377","825","485","47","3466"
