"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8973","0","192.7","102.4","-1.4","138"
"","Haryana","7566","0","158.0","106.0","-1.4","229"
"","Rajasthan","8570","0","188.2","65.4","5.5","516"
"","Delhi","4869","0","97.3","75.6","0.8","287"
"","UP","11507","2970","262.7","125.5","-2.1","172"
"","Uttarakhand","1723","0","35.3","12.5","0.7","229"
"","HP","1239","0","25.7","1.8","1.5","151"
"","J&K","1864","466","34.6","19.0","0.6","236"
"","Chandigarh","293","0","5.9","5.9","0.3","15"
"WR","Chhattisgarh","3289","96","79.2","24.8","1.7","307"
"","Gujarat","12777","0","280.0","75.1","-1.6","441"
"","MP","6887","20","146.4","88.4","-1.3","201"
"","Maharashtra","19061","41","418.5","115.0","4.1","633"
"","Goa","407","0","8.7","7.9","0.1","64"
"","DD","301","0","6.8","6.5","0.3","43"
"","DNH","711","0","16.2","16.4","-0.3","20"
"","Essar steel","426","0","9.3","9.2","0.1","108"
"SR","Andhra Pradesh","6847","0","151.2","33.0","1.6","545"
"","Telangana","6234","0","139.4","90.7","1.2","463"
"","Karnataka","9049","600","181.7","27.8","4.3","653"
"","Kerala","3416","125","62.3","32.6","1.8","434"
"","Tamil Nadu","12934","0","298.7","88.7","-0.4","420"
"","Pondy","365","45","7.2","6.9","0.2","41"
"ER","Bihar","2763","0","56.5","54.6","-0.1","320"
"","DVC","2574","0","57.6","-17.7","-1.1","280"
"","Jharkhand","980","0","21.8","12.9","-1.8","150"
"","Odisha","3840","0","76.3","15.8","1.1","400"
"","West Bengal","7128","0","148.0","52.9","2.6","350"
"","Sikkim","80","0","1.2","1.0","0.3","21"
"NER","Arunachal Pradesh","94","7","1.2","2.0","-0.8","39"
"","Assam","1197","211","26.0","19.9","2.6","238"
"","Manipur","112","7","2.2","2.2","0.0","31"
"","Meghalaya","286","1","4.5","0.3","-0.6","50"
"","Mizoram","69","5","1.2","1.0","0.2","27"
"","Nagaland","109","7","1.7","1.6","0.0","35"
"","Tripura","205","50","3.7","1.3","0.4","143"
