"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","223.1","-268.3","75.9","-30.8","-0.2","-0.4"
"Actual(MU)","240.5","-268.5","89.7","-61.0","-3.0","-2.3"
"O/D/U/D(MU)","17.4","-0.1","13.8","-30.2","-2.7","-1.9"
