"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","44914","43790","35439","15591","2115","141849"
"Peak Shortage (MW)","3394","243","300","0","229","4166"
"Energy Met (MU)","1015","1033","833","372","37","3289"
"Hydro Gen(MU)","331","37","77","76","21","541"
"Wind Gen(MU)","33","79","92","----------","----------","204"
