"","NR","WR","SR","ER","NER","All India"
"Coal","438","1129","457","423","12","2458"
"Lignite","25","15","44","0","0","83"
"Hydro","122","47","84","39","9","300"
"Nuclear","29","28","44","0","0","101"
"Gas, Naptha & Diesel","32","33","16","0","22","104"
"RES (Wind, Solar, Biomass & Others)","65","97","167","2","0","331"
"Total","711","1348","812","464","43","3377"
