"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","180.7","-199.8","93.5","-73.3","4.0","5.1"
"Actual(MU)","168.1","-193.6","92.8","-74.2","5.0","-1.8"
"O/D/U/D(MU)","-12.6","6.3","-0.7","-0.9","1.0","-7.0"
