"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9794","0","204.6","111.3","1.2","428"
"","Haryana","7408","0","140.2","108.6","-6.4","232"
"","Rajasthan","8840","0","197.2","79.1","3.5","491"
"","Delhi","5145","0","94.6","74.7","-0.8","131"
"","UP","12513","3185","280.7","133.0","3.6","885"
"","Uttarakhand","1675","0","33.6","14.4","0.1","166"
"","HP","1116","0","23.3","2.1","0.1","233"
"","J&K","1790","447","32.3","18.6","-1.4","268"
"","Chandigarh","253","0","5.0","5.3","0.3","9"
"WR","Chhattisgarh","3076","0","70.2","20.8","0.9","223"
"","Gujarat","11883","0","265.2","47.0","-2.1","638"
"","MP","5696","0","124.7","80.9","-0.8","240"
"","Maharashtra","14871","40","335.3","79.6","0.2","602"
"","Goa","382","0","7.7","8.4","-1.2","11"
"","DD","285","0","6.4","6.3","0.1","227"
"","DNH","692","0","16.1","16.2","-0.1","57"
"","Essar steel","445","0","7.9","8.3","-0.4","124"
"SR","Andhra Pradesh","5050","0","113.3","20.2","2.4","408"
"","Telangana","4371","0","97.2","69.6","-0.2","486"
"","Karnataka","6286","300","124.6","28.0","0.2","679"
"","Kerala","2637","0","50.4","39.4","0.4","171"
"","Tamil Nadu","10618","0","241.0","102.0","-0.6","682"
"","Pondy","285","0","6.4","6.4","0.0","33"
"ER","Bihar","2744","0","57.3","57.4","0.0","300"
"","DVC","2783","0","60.4","-20.6","1.3","320"
"","Jharkhand","1038","0","18.1","13.9","-2.0","0"
"","Odisha","3353","0","67.7","16.8","2.1","0"
"","West Bengal","6571","0","128.2","35.2","2.7","0"
"","Sikkim","70","0","1.1","1.0","0.1","0"
"NER","Arunachal Pradesh","97","6","1.2","1.6","-0.4","20"
"","Assam","1192","169","24.8","17.7","1.7","210"
"","Manipur","135","7","2.0","2.1","-0.1","43"
"","Meghalaya","233","1","4.3","0.5","-0.2","69"
"","Mizoram","62","3","1.0","0.9","0.2","22"
"","Nagaland","106","5","1.6","1.4","0.2","38"
"","Tripura","220","6","3.1","1.2","-0.1","43"
