"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","38944","45259","39560","17941","2232","143935"
"Peak Shortage (MW)","746","57","0","85","164","1052"
"Energy Met (MU)","869","1081","962","351","38","3301"
"Hydro Gen(MU)","112","43","73","40","4","272"
"Wind Gen(MU)","22","22","15","----------","----------","58"
"Solar Gen (MU)*","3.32","12.28","19.00","1.48","0.03","36"
