"","NR","WR","SR","ER","NER"
"Schedule(MU)","147.8","-119.3","38.0","-74.6","5.0"
"Actual(MU)","137.8","-119.0","37.9","-68.0","6.3"
"O/D/U/D(MU)","-10.0","0.3","-0.1","6.6","1.3"
