"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.8","1.3","0.8","81.7","17.5"
"SR GRID","0.0","0.0","1.2","6.3","1.2","91.3","7.5"
