"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5764","0","114.4","43.8","0.5","447"
"","Haryana","6119","0","111.1","74.9","-0.7","327"
"","Rajasthan","9249","538","195.4","61.8","4.4","433"
"","Delhi","2995","0","55.2","42.4","-1.7","261"
"","UP","12263","395","248.3","83.4","-3.2","184"
"","Uttarakhand","1734","150","31.3","18.5","0.2","136"
"","HP","1373","0","24.1","19.2","-0.2","123"
"","J&K","1804","451","36.7","36.5","-4.0","63"
"","Chandigarh","187","0","3.3","3.4","-0.2","20"
"WR","Chhattisgarh","2944","0","64.5","8.0","-3.0","188"
"","Gujarat","13006","0","273.5","77.9","0.0","483"
"","MP","10673","0","213.0","117.1","-2.6","234"
"","Maharashtra","20366","0","428.8","120.9","2.6","652"
"","Goa","441","0","8.9","7.4","0.9","47"
"","DD","279","0","6.1","6.1","0.0","24"
"","DNH","682","0","15.2","15.4","-0.2","-9"
"","Essar steel","492","0","8.5","8.1","0.4","216"
"SR","Andhra Pradesh","6142","0","138.5","16.5","0.3","415"
"","Telangana","6796","0","140.6","73.8","2.3","351"
"","Karnataka","8799","0","189.2","67.0","5.8","497"
"","Kerala","3454","0","64.0","52.4","3.0","248"
"","Tamil Nadu","11976","0","247.6","120.0","-1.2","479"
"","Pondy","276","0","5.6","5.9","-0.4","23"
"ER","Bihar","3352","0","54.5","53.5","-2.4","100"
"","DVC","2151","0","56.2","-35.3","0.4","120"
"","Jharkhand","985","0","22.2","14.4","0.6","100"
"","Odisha","3880","0","66.2","20.1","0.6","150"
"","West Bengal","6471","0","97.8","18.2","1.6","150"
"","Sikkim","89","0","1.4","1.5","-0.2","12"
"NER","Arunachal Pradesh","97","3","2.1","1.7","0.4","3"
"","Assam","1325","22","20.6","16.2","0.4","87"
"","Manipur","130","2","2.1","2.4","-0.3","10"
"","Meghalaya","278","0","4.4","4.1","-0.6","12"
"","Mizoram","83","2","1.4","1.3","0.1","15"
"","Nagaland","100","2","2.1","1.8","0.3","7"
"","Tripura","213","2","3.2","1.4","-0.2","24"
