"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9823","0","220.1","126.0","0.0","126"
"","Haryana","8165","71","167.5","147.6","-2.6","208"
"","Rajasthan","8060","0","180.2","71.6","1.0","200"
"","Delhi","4935","0","103.7","83.4","-1.5","155"
"","UP","12502","680","271.1","144.3","-0.4","242"
"","Uttarakhand","1658","0","38.1","13.6","0.5","141"
"","HP","1250","0","25.7","-0.6","1.0","93"
"","J&K","1657","414","33.6","15.8","-4.1","0"
"","Chandigarh","286","0","5.8","6.3","-0.5","1"
"WR","Chhattisgarh","3170","0","73.4","25.9","3.6","337"
"","Gujarat","12325","0","276.9","64.4","-1.1","455"
"","MP","6132","0","127.6","56.9","-2.8","396"
"","Maharashtra","16645","0","368.0","115.1","2.0","607"
"","Goa","442","0","9.3","7.0","1.6","117"
"","DD","313","0","7.2","6.7","0.5","38"
"","DNH","728","0","16.0","16.8","-0.8","36"
"","Essar steel","518","0","8.9","8.5","-7.8","227"
"SR","Andhra Pradesh","7353","0","159.8","7.2","2.3","362"
"","Telangana","7553","0","171.4","110.6","2.1","467"
"","Karnataka","8738","0","176.9","62.1","2.9","623"
"","Kerala","3385","0","63.9","46.4","0.9","257"
"","Tamil Nadu","13965","0","305.1","110.8","0.1","579"
"","Pondy","349","0","7.1","7.4","-0.3","28"
"ER","Bihar","3431","0","70.8","66.8","1.8","385"
"","DVC","2601","0","59.0","-17.8","0.5","305"
"","Jharkhand","879","0","20.7","14.3","-0.2","95"
"","Odisha","2697","0","66.4","18.9","-0.6","245"
"","West Bengal","6935","0","136.6","41.3","1.9","380"
"","Sikkim","35","0","1.7","1.5","0.2","5"
"NER","Arunachal Pradesh","104","2","2.0","2.0","0.0","10"
"","Assam","1503","0","32.0","21.0","5.7","278"
"","Manipur","134","1","2.0","2.1","-0.2","16"
"","Meghalaya","274","0","4.5","0.1","0.3","75"
"","Mizoram","70","2","1.2","1.0","0.1","18"
"","Nagaland","108","1","1.8","1.7","0.0","30"
"","Tripura","233","2","3.9","3.4","0.9","66"
