"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.54","2.73","14.06","17.34","59.14","23.52"
"SR GRID","0.00","0.54","2.73","14.06","17.34","59.14","B. Frequency Profile (%)23.52"
