"","NR","WR","SR","ER","NER"
"Schedule(MU)","101.7","-82.0","33.2","-57.8","5.6"
"Actual(MU)","106.6","-101.9","39.7","-55.0","8.5"
"O/D/U/D(MU)","4.9","-19.9","6.5","2.8","2.9"
