"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5327","0","111.2","59.1","0.8","166"
"","Haryana","5419","0","107.1","53.6","-1.4","342"
"","Rajasthan","6967","0","155.1","61.0","-3.9","22"
"","Delhi","4126","0","86.1","57.6","-1.4","164"
"","UP","10638","1780","235.5","90.0","-2.2","149"
"","Uttarakhand","1673","0","33.7","20.6","-0.2","110"
"","HP","1118","0","23.3","13.0","-1.5","28"
"","J&K","1520","100","30.1","20.7","-2.9","102"
"","Chandigarh","226","0","4.6","4.7","-0.2","11"
"WR","Chhattisgarh","3319","64","76.0","21.9","3.8","306"
"","Gujarat","12042","60","273.9","51.7","-1.6","411"
"","MP","7249","18","145.3","72.9","-3.9","76"
"","Maharashtra","16832","663","378.2","132.1","-0.1","622"
"","Goa","414","1","8.3","7.3","0.5","76"
"","DD","271","1","6.0","6.3","-0.3","12"
"","DNH","590","1","14.0","14.2","-0.2","0"
"SR","Andhra Pradesh","10742","2800","245.9","71.2","2.8","349"
"","Karnataka","7498","600","158.6","24.1","0.9","202"
"","Kerala","2819","500","59.0","33.6","2.7","292"
"","Tamil Nadu","10400","2261","233.4","75.0","3.0","409"
"","Pondy","303","0","6.4","7.3","-0.9","21"
"ER","Bihar","1713","600","37.5","37.7","-0.1","60"
"","DVC","2620","200","57.3","-18.9","-3.6","310"
"","Jharkhand","986","0","21.5","12.5","-1.4","0"
"","Odisha","3620","0","72.3","10.1","1.6","320"
"","West Bengal","6943","106","145.2","35.5","5.1","340"
"","Sikkim","99","0","1.2","1.5","-0.4","0"
"NER","Arunachal Pradesh","94","2","1.2","1.1","0.1","48"
"","Assam","1007","156","18.0","11.6","1.5","91"
"","Manipur","90","2","1.1","1.0","0.1","50"
"","Meghalaya","230","10","2.6","2.1","0.0","55"
"","Mizoram","57","3","1.0","0.8","0.2","14"
"","Nagaland","79","3","1.2","1.2","0.0","32"
"","Tripura","190","25","2.8","1.0","-0.1","30"
