"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","1.2","3.2","1.2","91.8","7.0"
"SR GRID","0.0","0.0","6.0","16.8","6.0","91.6","2.4"
