"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","48126","46045","39977","17714","2367","154229"
"Peak Shortage (MW)","609","0","0","0","26","635"
"Energy Met (MU)","985","1075","952","337","40","3388"
"Hydro Gen (MU)","116","44","94","36","9","299"
"Wind Gen (MU)","3","36","14","----------","----------","53"
"Solar Gen (MU)*","26.93","18.80","75.11","1.13","0.03","122"
"Energy Shortage (MU)","12.8","0.0","0.0","0.0","1.3","14.1"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","50126","52336","45248","17930","2428","163488"
"","09:54","10:40","08:48","19:02","17:32","09:52"
