"","NR","WR","SR","ER","NER"
"Schedule(MU)","113.9","-88.6","46.7","-72.4","5.0"
"Actual(MU)","124.2","-105.7","47.6","-77.7","4.9"
"O/D/U/D(MU)","10.3","-17.1","0.9","-5.3","-0.1"
