"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 2000 hrs; from RLDCs)","51531","38817","35850","18641","2410","147249"
"Peak Shortage (MW)","3109","168","0","0","163","3440"
"Energy Met (MU)","1209","882","799","401","42","3333"
"Hydro Gen(MU)","312","22","35","87","24","480"
"Wind Gen(MU)","5","43","190","----------","----------","238"
"Solar Gen (MU)*","2.91","9.82","18.60","0.97","0.01","32"
"Energy Shortage (MU)","39.8","2.4","0.0","0.0","2.7","44.9"
"Maximum Demand Met during the day (MW) (from NLDC SCADA)","52993","39183","37226","19455","2544","148407"
