"","NR","WR","SR","ER","NER"
"Schedule(MU)","80.1","-44.7","42.6","-84.4","6.1"
"Actual(MU)","81.2","-41.8","41.8","-84.7","7.1"
"O/D/U/D(MU)","1.1","2.9","-0.8","-0.3","1.0"
