"Share of RES in total generation (%)","8.80","3.81","20.32","0.44","0.08","8.29"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","31.23","9.37","39.10","10.30","23.42","21.41"
