"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","202.7","-194.8","102.1","-107.5","-2.2","0.3"
"Actual(MU)","219.3","-203.5","108.9","-114.1","-1.8","8.8"
"O/D/U/D(MU)","16.6","-8.7","6.8","-6.6","0.4","8.5"
