"Share of RES in total generation (%)","9.65","4.74","15.91","0.15","0.15","7.90"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","34.96","8.81","26.96","5.56","9.34","18.24"
