"","NR","WR","SR","ER","NER"
"Schedule(MU)","132.9","-107.8","43.2","-77.2","7.9"
"Actual(MU)","143.8","-138.7","47.1","-75.5","10.3"
"O/D/U/D(MU)","10.9","-30.9","3.9","1.8","2.4"
