"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","3470","0","73.2","49.1","-0.6","345"
"","Haryana","5070","0","85.4","63.3","-1.7","243"
"","Rajasthan","8678","0","185.7","53.6","1.2","389"
"","Delhi","3120","0","56.9","48.9","-0.7","298"
"","UP","10639","640","214.5","98.9","-0.5","691"
"","Uttarakhand","1525","0","26.9","21.9","-2.6","133"
"","HP","1107","0","20.3","18.1","-4.2","22"
"","J&K","1819","455","35.5","32.3","-7.2","231"
"","Chandigarh","166","0","3.2","3.4","0.3","23"
"WR","Chhattisgarh","3652","96","85.2","33.5","-1.0","226"
"","Gujarat","13309","9","296.6","73.8","-0.4","432"
"","MP","7903","0","164.2","104.7","-5.2","211"
"","Maharashtra","19510","4","417.0","121.8","0.8","893"
"","Goa","464","0","9.8","8.0","1.2","115"
"","DD","302","0","6.9","6.6","0.3","43"
"","DNH","728","0","16.2","16.8","-0.6","26"
"","Essar steel","530","0","9.9","11.2","-1.4","147"
"SR","Andhra Pradesh","7100","0","152.9","21.6","0.4","550"
"","Telangana","6206","0","142.6","82.2","-0.5","211"
"","Karnataka","9068","800","207.8","62.4","3.1","404"
"","Kerala","3463","0","71.0","50.6","1.6","191"
"","Tamil Nadu","13705","0","311.2","152.2","6.3","496"
"","Pondy","327","0","7.2","7.2","0.0","24"
"ER","Bihar","3077","0","62.4","57.4","2.7","300"
"","DVC","2458","60","59.0","-24.2","0.7","275"
"","Jharkhand","974","0","19.2","9.0","1.2","180"
"","Odisha","4112","0","80.5","24.0","1.3","350"
"","West Bengal","7558","0","150.2","46.9","3.2","380"
"","Sikkim","126","0","1.2","0.9","0.2","25"
"NER","Arunachal Pradesh","105","1","2.0","1.5","0.5","36"
"","Assam","1359","25","22.1","14.5","3.1","195"
"","Manipur","147","1","2.4","2.0","0.5","31"
"","Meghalaya","285","0","4.9","4.1","-0.2","97"
"","Mizoram","82","1","1.4","1.0","0.3","33"
"","Nagaland","99","1","2.1","1.5","0.6","32"
"","Tripura","212","6","3.8","0.8","1.0","66"
