"","NR","WR","SR","ER","NER"
"Schedule(MU)","101.6","-92.1","34.0","-52.2","7.5"
"Actual(MU)","103.8","-100.3","37.2","-56.7","11.3"
"O/D/U/D(MU)","2.2","-8.3","3.2","-4.5","3.8"
