"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","1.7","8.3","1.7","94.5","3.8"
"SR GRID","0.0","0.0","3.4","16.7","3.4","92.8","3.8"
