"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","39327","47632","40318","17950","2342","147569"
"Peak Shortage (MW)","720","0","60","204","32","1016"
"Energy Met (MU)","881","1120","907","353","42","3304"
"Hydro Gen (MU)","115","23","75","24","7","243"
"Wind Gen (MU)","16","52","42","----------","----------","110"
"Solar Gen (MU)*","12.80","18.67","76.36","0.90","0.04","109"
"Energy Shortage (MU)","10.6","0.2","0.3","0.6","0.3","11.9"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","43459","55783","43310","18643","2503","159826"
"","08:40","09:50","09:41","18:30","17:47","09:21"
