"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.20","1.77","8.59","10.56","73.01","16.44"
"SR GRID","0.00","0.20","1.77","8.59","10.56","73.01","16.44"
