"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9596","0","221.2","129.8","-0.6","86.0"
"","Haryana","8253","0","172.0","123.5","-0.6","168.0"
"","Rajasthan","6162","0","124.0","45.1","-0.8","289.0"
"","Delhi","4362","0","93.3","82.8","-1.3","80.0"
"","UP","12777","2910","292.6","138.9","3.4","682.0"
"","Uttarakhand","1855","0","39.9","16.2","0.6","133.0"
"","HP","1274","0","26.4","0.6","0.4","105.0"
"","J&K","1860","465","33.8","19.9","-0.2","169.0"
"","Chandigarh","298","0","6.1","6.5","-0.4","20.0"
"WR","Chhattisgarh","3558","148","84.3","30.6","3.6","402.0"
"","Gujarat","9357","0","209.6","25.2","-0.2","450.0"
"","MP","6710","0","139.1","82.7","-2.5","350.0"
"","Maharashtra","16613","47","369.4","86.6","0.6","810.0"
"","Goa","388","0","8.4","6.6","1.1","70.0"
"","DD","290","0","6.5","6.0","0.5","63.0"
"","DNH","661","0","15.3","15.5","-0.1","55.0"
"","Essar steel","361","0","7.5","8.2","-0.6","172.0"
"SR","Andhra Pradesh","6304","0","149.7","20.4","3.4","543.0"
"","Telangana","6478","0","148.9","96.7","2.4","462.0"
"","Karnataka","7741","1250","174.9","16.9","3.6","601.0"
"","Kerala","3356","0","63.4","34.2","1.4","184.0"
"","Tamil Nadu","11794","1121","283.6","92.3","1.3","517.0"
"","Pondy","317","10","6.7","6.8","-0.1","15.0"
"ER","Bihar","2993","0","62.2","58.8","0.9","250.0"
"","DVC","2537","0","56.0","-16.7","-1.2","320.0"
"","Jharkhand","996","55","20.1","12.6","-0.4","250.0"
"","Odisha","3561","0","76.7","15.6","1.9","380.0"
"","West Bengal","5999","0","125.1","38.8","2.9","300.0"
"","Sikkim","86","0","1.2","0.8","0.4","24.0"
"NER","Arunachal Pradesh","90","4","1.1","2.1","-1.0","4.0"
"","Assam","1298","157","25.4","19.2","2.1","166.4"
"","Manipur","94","6","1.5","1.8","-0.3","51.8"
"","Meghalaya","203","0","3.3","1.8","-1.0","95.1"
"","Mizoram","62","3","1.2","1.1","0.1","22.1"
"","Nagaland","112","4","1.9","1.6","0.3","53.9"
"","Tripura","196","10","3.0","1.1","0.2","35.4"
