"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","46625","37798","31879","15738","2082","134122"
"Peak Shortage (MW)","2389","192","300","200","228","3309"
"Energy Met (MU)","1067","864","677","351","40","2999"
"Hydro Gen(MU)","317","22","39","45","15","438"
"Wind Gen(MU)","10","49","77","----------","----------","137"
