"","NR","WR","SR","ER","NER"
"Schedule(MU)","98.2","-76.8","22.2","-52.9","5.3"
"Actual(MU)","91.3","-83.0","27.3","-48.4","8.0"
"O/D/U/D(MU)","-6.9","-6.2","5.1","4.5","2.7"
