"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6469","0","134.7","76.0","1.1","163"
"","Haryana","5905","0","131.7","78.4","-1.9","228"
"","Rajasthan","7173","37","158.9","57.7","-3.5","70"
"","Delhi","4554","0","94.8","65.2","-1.1","282"
"","UP","10626","2475","236.4","95.0","1.5","449"
"","Uttarakhand","1644","0","34.4","19.0","-0.2","78"
"","HP","1126","0","23.6","11.7","-2.6","37"
"","J&K","1515","100","32.0","17.6","1.0","224"
"","Chandigarh","277","0","5.3","4.7","0.6","94"
"WR","Chhattisgarh","3224","54","74.3","21.8","-0.7","202"
"","Gujarat","12002","48","271.3","47.4","-1.9","430"
"","MP","7075","10","145.1","74.5","-5.5","36"
"","Maharashtra","16814","563","375.2","101.4","10.4","616"
"","Goa","360","46","8.2","7.3","0.6","86"
"","DD","260","0","6.2","5.9","0.2","56"
"","DNH","595","1","13.9","14.1","-0.2","15"
"SR","Andhra Pradesh","10642","2500","242.7","73.9","3.3","517"
"","Karnataka","7114","600","146.4","20.7","-2.7","316"
"","Kerala","2827","520","59.0","30.2","1.7","378"
"","Tamil Nadu","11905","542","259.0","62.2","1.3","654"
"","Pondy","309","40","6.7","6.8","-0.1","103"
"ER","Bihar","1827","550","40.1","40.2","-0.1","150"
"","DVC","2659","0","55.3","-28.3","-2.6","420"
"","Jharkhand","987","0","21.7","11.1","-0.5","60"
"","Odisha","3659","0","73.1","14.2","0.2","370"
"","West Bengal","6692","8","135.7","27.2","5.2","390"
"","Sikkim","92","0","1.3","1.4","-0.1","10"
"NER","Arunachal Pradesh","98","2","1.3","1.5","-0.2","35"
"","Assam","990","162","16.5","12.2","-2.3","108"
"","Manipur","93","1","1.4","1.3","0.1","22"
"","Meghalaya","215","0","3.4","1.9","-0.1","79"
"","Mizoram","51","4","1.0","1.0","-0.1","11"
"","Nagaland","97","3","1.2","1.2","-0.1","25"
"","Tripura","147","14","2.5","1.2","-0.3","4"
