"","NR","WR","SR","ER","NER"
"Schedule(MU)","120.4","-100.7","27.4","-61.2","5.6"
"Actual(MU)","120.3","-108.1","26.1","-51.9","6.5"
"O/D/U/D(MU)","-0.1","-7.4","-1.3","9.3","0.9"
