"","NR","WR","SR","ER","NER"
"Schedule(MU)","119.1","-112.0","49.8","-65.8","9.5"
"Actual(MU)","118.7","-111.0","54.4","-76.1","12.4"
"O/D/U/D(MU)","-0.4","1.0","4.6","-10.4","2.9"
