"","NR","WR","SR","ER","NER"
"Schedule(MU)","137.4","-101.3","39.6","-78.8","4.5"
"Actual(MU)","124.7","-95.8","39.7","-69.8","0.3"
"O/D/U/D(MU)","-12.7","5.5","0.1","9.0","-4.2"
