"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.2","1.0","0.2","88.5","11.3"
"SR GRID","0.0","0.0","1.1","7.0","1.1","95.2","3.7"
