"","NR","WR","SR","ER","NER"
"Schedule(MU)","71.4","-68.0","38.7","-50.6","5.3"
"Actual(MU)","57.1","-47.8","38.9","-53.8","4.5"
"O/D/U/D(MU)","-14.3","20.2","0.2","-3.2","-0.8"
