"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.1","1.9","5.4","2.0","90.0","8.0"
"SR GRID","0.0","0.4","6.1","30.6","6.5","91.3","2.2"
