"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8342","0","183.7","125.2","0.7","148"
"","Haryana","7017","0","150.5","92.5","-0.2","251"
"","Rajasthan","6134","0","135.4","52.8","-5.2","0"
"","Delhi","4341","0","93.3","70.3","-1.5","228"
"","UP","10628","1830","237.8","120.9","-2.2","215"
"","Uttarakhand","1452","235","28.7","16.9","-0.7","286"
"","HP","1109","0","23.7","2.0","0.4","159"
"","J&K","1335","100","23.2","13.9","-4.3","53"
"","Chandigarh","255","0","5.3","5.7","-0.4","6"
"WR","Chhattisgarh","3091","8","64.9","22.3","3.7","530"
"","Gujarat","9053","34","198.8","48.3","4.0","775"
"","MP","5685","2","113.0","32.3","3.0","578"
"","Maharashtra","13998","181","310.5","90.9","9.4","845"
"","Goa","406","0","7.7","6.6","0.6","71"
"","DD","255","0","6.1","3.7","2.4","163"
"","DNH","643","0","15.2","11.5","3.8","190"
"","Essar steel","388","0","8.7","7.4","1.3","51"
"SR","Andhra Pradesh","10503","50","241.7","77.7","3.3","446"
"","Karnataka","6773","1200","147.3","22.0","0.8","433"
"","Kerala","3058","150","55.6","15.0","0.2","248"
"","Tamil Nadu","10713","590","233.7","63.8","-4.1","318"
"","Pondy","282","20","5.4","6.0","-0.5","44"
"ER","Bihar","2125","250","43.4","41.8","1.6","230"
"","DVC","2628","35","61.0","-23.0","4.3","250"
"","Jharkhand","924","0","20.0","14.9","-2.0","110"
"","Odisha","3650","200","69.2","19.1","2.7","310"
"","West Bengal","6940","40","137.5","43.9","3.7","440"
"","Sikkim","91","0","1.1","1.2","-0.1","19"
"NER","Arunachal Pradesh","92","1","1.2","1.4","-0.2","22"
"","Assam","1115","157","23.7","14.4","3.8","217"
"","Manipur","106","2","1.2","2.0","-0.8","22"
"","Meghalaya","255","5","4.3","-0.5","0.4","138"
"","Mizoram","53","2","1.0","0.9","0.1","17"
"","Nagaland","94","1","1.2","1.1","-0.3","25"
"","Tripura","180","34","3.0","1.2","0.1","58"
