"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5370","0","99.9","49.5","1.6","201"
"","Haryana","5978","0","106.0","53.6","1.0","364"
"","Rajasthan","9496","0","200.0","67.0","0.5","262"
"","Delhi","3132","0","58.4","38.3","-0.6","108"
"","UP","9811","1690","209.2","93.1","1.8","341"
"","Uttarakhand","1666","150","32.4","23.0","1.3","194"
"","HP","1334","0","23.5","17.5","0.2","131"
"","J&K","2306","0","38.6","28.0","3.7","825"
"","Chandigarh","186","0","3.4","3.2","0.3","27"
"WR","Chhattisgarh","2890","18","60.4","9.7","-2.0","235"
"","Gujarat","12342","0","280.3","65.5","-1.9","434"
"","MP","9179","0","198.1","114.3","3.8","530"
"","Maharashtra","17610","65","385.1","110.5","-4.6","475"
"","Goa","421","0","8.2","7.8","-0.1","48"
"","DD","221","0","4.7","4.7","0.0","22"
"","DNH","630","0","13.7","14.2","-0.5","55"
"","Essar steel","425","0","8.5","8.6","-0.1","31"
"SR","Andhra Pradesh","5376","700","125.5","21.9","3.1","332"
"","Telangana","5381","280","119.9","71.3","1.1","135"
"","Karnataka","7549","450","156.5","19.9","1.7","325"
"","Kerala","3307","0","61.3","36.4","2.6","233"
"","Tamil Nadu","10939","795","234.4","66.4","0.3","347"
"","Pondy","317","0","6.2","6.2","0.1","32"
"ER","Bihar","2430","50","48.4","46.3","0.2","100"
"","DVC","2365","50","54.0","-14.0","-0.9","220"
"","Jharkhand","992","0","19.5","9.4","-1.6","160"
"","Odisha","3457","0","65.0","19.9","1.7","280"
"","West Bengal","6309","0","109.2","15.5","0.6","320"
"","Sikkim","113","0","1.3","1.2","0.0","40"
"NER","Arunachal Pradesh","99","0","1.7","1.4","0.3","32"
"","Assam","1110","125","20.2","12.7","2.5","153"
"","Manipur","130","1","2.0","2.1","-0.1","44"
"","Meghalaya","287","1","4.0","3.3","-0.3","47"
"","Mizoram","73","2","1.1","1.0","0.1","16"
"","Nagaland","99","2","2.0","1.1","0.4","41"
"","Tripura","201","1","2.7","0.5","0.0","75"
