"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","4961","0","104.2","46.3","-0.8","126","0.0"
"","Haryana","5835","0","114.8","85.6","0.5","222","0.0"
"","Rajasthan","9398","213","195.2","62.0","3.0","358","2.1"
"","Delhi","3279","0","65.6","52.6","-1.2","52","0.0"
"","UP","13652","50","286.2","114.7","1.4","430","1.7"
"","Uttarakhand","1582","0","32.2","12.7","-0.1","81","0.0"
"","HP","1316","0","24.0","14.8","0.5","122","0.0"
"","J&K","1911","478","40.0","32.9","1.1","150","9.4"
"","Chandigarh","155","0","2.9","3.8","-0.9","0","0.0"
"WR","Chhattisgarh","3355","30","73.3","17.9","-2.4","408","0.1"
"","Gujarat","14294","0","305.3","79.0","-0.6","377","0.0"
"","MP","10526","0","224.3","161.8","0.5","559","0.3"
"","Maharashtra","19009","0","409.3","129.5","-0.2","348","0.0"
"","Goa","466","0","10.0","8.5","1.5","57","0.0"
"","DD","302","0","6.8","5.9","0.9","58","0.0"
"","DNH","744","0","16.9","15.8","1.0","102","0.0"
"","Essar steel","473","0","9.3","9.5","-0.2","163","0.0"
"SR","Andhra Pradesh","7468","0","161.4","59.9","0.3","408","0.0"
"","Telangana","6778","0","150.5","47.0","-4.0","318","0.0"
"","Karnataka","7475","0","164.2","74.2","3.2","450","0.0"
"","Kerala","3199","0","61.0","46.4","0.7","153","0.0"
"","Tamil Nadu","12106","0","270.6","153.9","2.1","431","0.0"
"","Pondy","295","0","6.3","6.8","-0.5","26","0.0"
"ER","Bihar","3965","0","70.8","63.4","0.4","200","0.0"
"","DVC","3059","0","63.3","-21.6","2.3","220","0.4"
"","Jharkhand","1104","0","22.3","15.9","0.1","55","0.0"
"","Odisha","4055","0","80.3","40.5","3.6","250","0.0"
"","West Bengal","6591","0","115.5","27.8","0.8","250","0.0"
"","Sikkim","90","0","1.1","1.2","0.0","15","0.0"
"NER","Arunachal Pradesh","136","4","2.2","2.1","0.1","7","0.0"
"","Assam","1458","36","23.8","17.8","0.5","139","0.5"
"","Manipur","156","6","2.2","2.5","-0.3","19","0.0"
"","Meghalaya","292","0","5.3","1.5","-0.3","59","0.0"
"","Mizoram","78","0","1.4","1.2","0.0","15","0.0"
"","Nagaland","109","0","1.8","1.6","-0.3","19","0.0"
"","Tripura","248","2","3.2","2.3","-0.6","75","0.0"
