"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4735","0","92.7","43.2","-0.4","92"
"","Haryana","5436","0","95.2","66.0","-0.5","317"
"","Rajasthan","7911","0","167.6","51.9","-1.1","83"
"","Delhi","3224","18","64.2","49.8","-1.7","177"
"","UP","10805","1925","233.4","108.6","-3.0","142"
"","Uttarakhand","1649","0","29.1","19.0","1.0","248"
"","HP","1231","0","23.1","11.6","0.1","58"
"","J&K","1540","100","33.7","23.8","-1.5","33"
"","Chandigarh","201","0","3.6","3.3","0.2","15"
"WR","Chhattisgarh","3351","57","79.9","23.2","-1.3","199"
"","Gujarat","12194","35","270.4","49.7","-2.4","283"
"","MP","7079","17","150.7","73.9","-1.6","297"
"","Maharashtra","18818","97","407.8","126.4","3.9","619"
"","Goa","390","46","8.6","7.6","0.3","46"
"","DD","253","1","6.0","5.8","0.2","9"
"","DNH","621","1","14.2","14.3","-0.1","23"
"","Essar steel","598","1","12.1","12.7","-0.6","65"
"SR","Andhra Pradesh","12446","1000","279.4","89.5","4.1","426"
"","Karnataka","9223","400","204.1","31.3","0.9","259"
"","Kerala","3491","150","70.1","25.7","1.3","195"
"","Tamil Nadu","11629","1800","268.2","91.2","7.2","568"
"","Pondy","331","0","6.9","7.1","-0.1","21"
"ER","Bihar","2219","0","42.0","38.7","0.9","180"
"","DVC","2482","0","57.3","-7.0","-0.6","90"
"","Jharkhand","911","0","21.3","10.0","-0.4","50"
"","Odisha","3763","0","76.4","22.1","0.4","200"
"","West Bengal","7248","0","154.0","53.6","2.5","220"
"","Sikkim","106","0","1.3","1.5","-0.2","16"
"NER","Arunachal Pradesh","96","4","1.5","0.9","0.6","58"
"","Assam","1097","122","19.1","11.1","3.1","226"
"","Manipur","99","11","1.5","1.3","0.2","32"
"","Meghalaya","254","26","3.7","3.1","-0.1","88"
"","Mizoram","66","9","1.0","0.9","-0.1","27"
"","Nagaland","89","1","1.7","1.4","-0.1","48"
"","Tripura","247","0","2.8","0.6","0.0","86"
