"","NR","WR","SR","ER","NER"
"Schedule(MU)","134.9","-63.0","23.8","-106.4","5.3"
"Actual(MU)","131.0","-68.6","22.8","-94.9","5.5"
"O/D/U/D(MU)","-3.9","-5.6","-1.0","11.5","0.2"
