"Share of RES in total generation (%)","9.79","5.75","18.89","0.41","0.05","9.00"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","29.48","11.37","35.21","7.29","23.45","20.60"
