"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","44483","36591","35062","17232","2036","135404"
"Peak Shortage (MW)","2619","1109","500","28","254","4510"
"Energy Met (MU)","1012","819","834","347","40","3051"
"Hydro Gen(MU)","374","54","94","76","18","616"
"Wind Gen(MU)","12","95","90","----------","----------","197"
