"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.32","3.04","13.04","16.41","72.30","11.28"
"SR GRID","0.00","0.32","3.04","13.04","16.41","72.30","11.28"
