"Share of RES in total generation (%)","8.75","3.60","19.48","0.43","0.51","8.02"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","30.90","8.81","38.22","10.14","18.57","20.84"
