"Share of RES in total generation (%)","7.59","3.25","14.90","0.37","0.06","6.43"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","31.29","9.18","34.84","10.11","24.28","20.17"
