"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5601","0","105.9","35.1","-0.4","148","0.0"
"","Haryana","6407","0","118.0","59.7","2.3","270","0.1"
"","Rajasthan","10329","0","196.7","82.8","1.6","425","0.0"
"","Delhi","3565","0","62.3","49.9","-1.3","124","0.0"
"","UP","12600","570","271.2","89.8","1.8","523","1.8"
"","Uttarakhand","1947","0","74.3","19.9","-0.2","120","0.0"
"","HP","1524","0","27.1","21.4","0.3","68","0.0"
"","J&K","2268","567","43.7","40.0","-0.7","325","10.3"
"","Chandigarh","201","0","3.3","3.6","-0.3","6","0.0"
"WR","Chhattisgarh","3355","0","70.9","10.5","-2.0","61","0.0"
"","Gujarat","13816","0","293.5","70.2","1.8","601","0.0"
"","MP","9958","0","224.5","142.6","-2.1","373","0.1"
"","Maharashtra","19287","0","401.2","140.5","-3.5","261","0.0"
"","Goa","426","0","9.9","9.0","0.2","31","0.0"
"","DD","326","0","7.3","6.7","0.6","63","0.0"
"","DNH","756","0","17.4","16.9","0.5","57","0.0"
"","Essar steel","552","0","11.4","10.7","0.7","220","0.0"
"SR","Andhra Pradesh","7766","0","160.2","62.2","5.5","400","-0.1"
"","Telangana","7714","0","154.2","66.5","0.9","395","-0.1"
"","Karnataka","9417","0","200.8","89.8","79.4","428","-0.1"
"","Kerala","3523","0","68.0","52.9","1.1","216","0.0"
"","Tamil Nadu","13249","0","278.9","141.0","54.9","386","-0.1"
"","Pondy","310","0","6.4","7.0","-0.7","18","0.0"
"ER","Bihar","3851","0","62.2","57.9","-2.3","150","0.0"
"","DVC","3157","0","67.9","-35.4","-1.0","250","0.0"
"","Jharkhand","1132","0","23.3","13.6","-0.7","40","0.0"
"","Odisha","3591","0","62.5","25.1","2.5","380","0.0"
"","West Bengal","6364","0","102.4","21.1","1.9","300","0.0"
"","Sikkim","108","0","1.5","1.6","-0.1","20","0.0"
"NER","Arunachal Pradesh","116","2","2.1","2.0","0.1","12","0.0"
"","Assam","1451","12","23.3","18.2","0.7","115","0.3"
"","Manipur","174","1","2.4","2.8","-0.3","22","0.0"
"","Meghalaya","319","0","6.1","3.3","-0.2","26","0.0"
"","Mizoram","83","1","1.6","1.4","0.1","17","0.0"
"","Nagaland","114","3","2.5","1.6","0.4","31","0.0"
"","Tripura","212","2","3.4","1.7","-0.1","46","0.0"
