"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","1.18","6.35","7.53","68.15","24.32"
"SR GRID","0.00","0.00","1.18","6.35","7.53","68.15","B. Frequency Profile (%)24.32"
