"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","1.0","6.0","1.0","90.2","8.8"
"SR GRID","0.0","0.0","2.6","7.4","2.6","80.1","17.3"
