"","NR","WR","SR","ER","NER"
"Schedule(MU)","93.6","-111.4","38.6","-29.0","6.4"
"Actual(MU)","95.5","-122.0","42.0","-27.3","8.2"
"O/D/U/D(MU)","1.9","-10.6","3.4","1.7","1.8"
