"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","6.60","17.34","28.34","52.30","40.98","6.71"
"SR GRID","0.00","6.60","17.34","28.34","52.30","40.98","B. Frequency Profile (%)6.71"
