"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at1900 hrs; from RLDCs)","46039","46707","36168","20685","2651","152251"
"Peak Shortage (MW)","1917","90","0","0","144","2151"
"Energy Met (MU)","997","1079","751","412","48","3287"
"Hydro Gen(MU)","160","24","101","92","23","400"
"Wind Gen(MU)","6","10","75","----------","----------","91"
"Solar Gen (MU)*","3.76","16.70","24.60","0.76","0.02","46"
"Energy Shortage (MU)","22.1","0.2","0.0","0.0","1.1","23.4"
"Maximum Demand Met during the day (MW) (from NLDC SCADA)","47628","45766","37092","21057","2749","153540"
