"","NR","WR","SR","ER","NER"
"Schedule(MU)","127.7","-124.8","48.0","-60.0","8.6"
"Actual(MU)","122.1","-122.1","51.8","-63.7","9.9"
"O/D/U/D(MU)","-5.6","2.7","3.8","-3.7","1.3"
