"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","1.31","8.19","9.50","59.28","31.22"
"SR GRID","0.00","0.00","1.31","8.19","9.50","59.28","B. Frequency Profile (%)31.22"
