"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","193.7","-188.5","89.6","-98.5","4.2","0.4"
"Actual(MU)","188.7","-196.2","95.7","-98.2","9.4","-0.6"
"O/D/U/D(MU)","-5.0","-7.7","6.1","0.4","5.2","-1.0"
