"","NR","WR","SR","ER","NER"
"Schedule(MU)","110.0","-105.8","35.5","-44.1","6.4"
"Actual(MU)","114.7","-115.4","34.8","-39.3","5.6"
"O/D/U/D(MU)","4.7","-9.6","-0.7","4.8","-0.8"
