"","NR","WR","SR","ER","NER"
"Schedule(MU)","101.6","-95.7","42.7","-46.8","-1.3"
"Actual(MU)","93.9","-103.9","49.2","-42.9","0.0"
"O/D/U/D(MU)","-7.7","-8.1","6.5","3.9","1.3"
