"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6311","0","134.1","53.3","-0.4","147","0.0"
"","Haryana","7207","18","147.3","86.2","8.2","556","2.6"
"","Rajasthan","9502","0","200.3","69.2","-0.8","316","0.0"
"","Delhi","4276","0","88.0","67.2","-0.8","83","0.0"
"","UP","14749","320","324.0","151.0","0.8","353","10.0"
"","Uttarakhand","1853","0","35.4","13.0","0.7","124","0.0"
"","HP","1279","0","24.4","12.7","0.8","101","0.1"
"","J&K","2024","506","39.4","33.3","-2.3","89","9.3"
"","Chandigarh","208","0","3.9","4.5","-0.6","18","0.0"
"WR","Chhattisgarh","3604","0","85.1","22.3","1.2","144","0.2"
"","Gujarat","15942","0","341.9","119.4","1.4","456","0.0"
"","MP","9584","0","207.9","135.6","3.0","648","0.0"
"","Maharashtra","18847","0","400.3","117.7","-2.4","374","0.0"
"","Goa","476","0","9.3","9.3","0.1","113","0.0"
"","DD","337","0","7.5","6.5","1.0","97","0.0"
"","DNH","773","0","17.5","16.6","1.0","160","0.0"
"","Essar steel","485","0","9.5","9.5","0.0","393","0.0"
"SR","Andhra Pradesh","6967","0","140.7","28.5","0.1","571","0.0"
"","Telangana","6651","0","144.5","42.4","0.0","433","0.0"
"","Karnataka","7061","0","134.4","33.9","-0.6","361","0.0"
"","Kerala","3129","0","58.5","42.9","0.8","166","0.0"
"","Tamil Nadu","13205","0","266.2","111.0","0.5","467","0.0"
"","Pondy","318","0","6.8","7.0","-0.2","38","0.0"
"ER","Bihar","4537","0","81.1","75.8","-1.6","250","0.0"
"","DVC","2914","0","65.7","-16.2","1.6","284","0.0"
"","Jharkhand","1193","0","24.1","16.9","1.8","201","0.0"
"","Odisha","4170","0","85.3","35.9","3.6","310","0.0"
"","West Bengal","8698","0","156.4","58.8","1.9","350","0.0"
"","Sikkim","94","0","1.1","1.2","-0.1","30","0.0"
"NER","Arunachal Pradesh","123","2","2.3","2.2","0.1","7","0.0"
"","Assam","1682","100","29.4","21.8","1.9","141","0.9"
"","Manipur","149","3","2.4","2.1","0.3","20","0.0"
"","Meghalaya","277","0","5.3","-0.6","0.1","126","0.0"
"","Mizoram","79","2","1.3","1.2","0.0","15","0.0"
"","Nagaland","112","2","2.3","1.7","0.1","23","0.0"
"","Tripura","262","1","4.8","4.1","0.3","90","0.0"
