"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5085","0","98.6","49.1","-0.5","215"
"","Haryana","5455","0","101.8","50.5","-3.2","218"
"","Rajasthan","6651","0","146.5","53.3","-3.2","43"
"","Delhi","3871","0","83.6","58.9","-2.5","45"
"","UP","10081","2370","224.9","89.8","-2.0","254"
"","Uttarakhand","1568","60","32.8","19.2","0.4","160"
"","HP","1269","25","24.3","13.3","-2.0","90"
"","J&K","1537","100","30.9","22.6","-2.5","41"
"","Chandigarh","211","0","4.3","4.6","-0.3","0"
"WR","Chhattisgarh","3054","92","70.4","21.7","2.3","336"
"","Gujarat","11620","692","266.2","39.0","0.1","510"
"","MP","6976","85","132.5","68.5","-3.2","387"
"","Maharashtra","15954","685","349.0","123.0","0.5","746"
"","Goa","378","45","8.0","7.2","0.4","85"
"","DD","258","3","6.2","6.1","0.1","44"
"","DNH","585","7","14.2","14.3","-0.1","10"
"SR","Andhra Pradesh","10845","2625","238.8","71.8","1.1","406"
"","Karnataka","7217","750","149.4","25.6","0.7","472"
"","Kerala","2745","500","59.0","32.6","2.2","244"
"","Tamil Nadu","10287","2282","232.8","76.0","1.3","358"
"","Pondy","309","0","6.6","7.5","-0.9","22"
"ER","Bihar","1619","220","37.1","37.1","0.0","200"
"","DVC","2739","0","61.5","-27.4","-0.3","180"
"","Jharkhand","1061","0","21.0","9.3","1.1","210"
"","Odisha","3507","0","68.2","11.1","0.0","420"
"","West Bengal","6933","56","123.8","36.8","2.8","510"
"","Sikkim","90","0","1.2","1.2","0.0","18"
"NER","Arunachal Pradesh","88","7","0.9","1.0","-0.1","40"
"","Assam","990","207","17.4","10.6","2.9","134"
"","Manipur","89","3","1.2","1.0","0.2","38"
"","Meghalaya","240","5","3.3","1.9","0.3","88"
"","Mizoram","56","1","1.1","0.8","0.3","19"
"","Nagaland","79","2","1.2","1.2","0.0","21"
"","Tripura","188","20","2.6","0.9","-0.4","36"
