"","NR","WR","SR","ER","NER"
"Schedule(MU)","139.3","-104.1","39.2","-78.3","4.8"
"Actual(MU)","122.3","-100.9","40.0","-68.6","5.8"
"O/D/U/D(MU)","-17.0","3.2","0.8","9.7","1.0"
