"","NR","WR","SR","ER","NER"
"Schedule(MU)","124.3","-99.9","28.0","-60.1","5.8"
"Actual(MU)","113.3","-106.5","35.4","-51.5","8.3"
"O/D/U/D(MU)","-11.0","-6.6","7.4","8.6","2.5"
